00DC	Uuml	LATIN CAPITAL LETTER U WITH DIAERESIS	Uni.: 5.1; MUFI: 3.0
00DD	Yacute	LATIN CAPITAL LETTER Y WITH ACUTE	Uni.: 5.1; MUFI: 3.0
00DE	THORN	LATIN CAPITAL LETTER THORN	Uni.: 5.1; MUFI: 3.0
00DF	szlig	LATIN SMALL LETTER SHARP S	Uni.: 5.1; MUFI: 3.0
00E0	agrave	LATIN SMALL LETTER A WITH GRAVE	Uni.: 5.1; MUFI: 3.0
00E1	aacute	LATIN SMALL LETTER A WITH ACUTE	Uni.: 5.1; MUFI: 3.0
00E2	acirc	LATIN SMALL LETTER A WITH CIRCUMFLEX	Uni.: 5.1; MUFI: 3.0
00E3	atilde	LATIN SMALL LETTER A WITH TILDE	Uni.: 5.1; MUFI: 3.0
00E4	auml	LATIN SMALL LETTER A WITH DIAERESIS	Uni.: 5.1; MUFI: 3.0
00E5	aring	LATIN SMALL LETTER A WITH RING ABOVE	Uni.: 5.1; MUFI: 3.0
00E6	aelig	LATIN SMALL LETTER AE	Uni.: 5.1; MUFI: 3.0
00E7	ccedil	LATIN SMALL LETTER C WITH CEDILLA	Uni.: 5.1; MUFI: 3.0
00E8	egrave	LATIN SMALL LETTER E WITH GRAVE	Uni.: 5.1; MUFI: 3.0
00E9	eacute	LATIN SMALL LETTER E WITH ACUTE	Uni.: 5.1; MUFI: 3.0
00EA	ecirc	LATIN SMALL LETTER E WITH CIRCUMFLEX	Uni.: 5.1; MUFI: 3.0
00EB	euml	LATIN SMALL LETTER E WITH DIAERESIS	Uni.: 5.1; MUFI: 3.0
00EC	igrave	LATIN SMALL LETTER I WITH GRAVE	Uni.: 5.1; MUFI: 3.0
00ED	iacute	LATIN SMALL LETTER I WITH ACUTE	Uni.: 5.1; MUFI: 3.0
00EE	icirc	LATIN SMALL LETTER I WITH CIRCUMFLEX	Uni.: 5.1; MUFI: 3.0
00EF	iuml	LATIN SMALL LETTER I WITH DIAERESIS	Uni.: 5.1; MUFI: 3.0
00F0	eth	LATIN SMALL LETTER ETH	Uni.: 5.1; MUFI: 3.0
00F1	ntilde	LATIN SMALL LETTER N WITH TILDE	Uni.: 5.1; MUFI: 3.0
00F2	ograve	LATIN SMALL LETTER O WITH GRAVE	Uni.: 5.1; MUFI: 3.0
00F3	oacute	LATIN SMALL LETTER O WITH ACUTE	Uni.: 5.1; MUFI: 3.0
00F4	ocirc	LATIN SMALL LETTER O WITH CIRCUMFLEX	Uni.: 5.1; MUFI: 3.0
00F5	otilde	LATIN SMALL LETTER O WITH TILDE	Uni.: 5.1; MUFI: 3.0
00F6	ouml	LATIN SMALL LETTER O WITH DIAERESIS	Uni.: 5.1; MUFI: 3.0
00F7	divide	DIVISION SIGN	Uni.: 5.1; MUFI: 3.0
